BST Experiments - Comparing Four Shuffling Methods
===================================================
1. No Shuffle (Sequential) - Worst Case O(n) height
2. Fisher-Yates (Classic) - Random Case O(log n) height
3. RANDOMIZE-IN-PLACE (CLRS) - Random Case O(log n) height
4. PERMUTE-BY-SORTING (CLRS) - Random Case O(log n) height

Size range: 10 to 50000
Number of size points: up to 60
Size progression: n = 10 * 1.2^i

Estimated runtime: 2-10 minutes depending on CPU
Progress will be shown below...

[1/4] Running NoShuffle experiments...

=== NoShuffle: Height Experiment ===
n,avg_height
10,10.00
11,11.00
13,13.00
15,15.00
17,17.00
20,20.00
23,23.00
26,26.00
30,30.00
35,35.00
40,40.00
46,46.00
53,53.00
61,61.00
70,70.00
81,81.00
93,93.00
107,107.00
123,123.00
142,142.00
163,163.00
188,188.00
216,216.00
248,248.00
286,286.00
329,329.00
378,378.00
435,435.00
500,500.00
575,575.00
662,662.00
761,761.00
875,875.00
1006,1006.00
1158,1158.00
1331,1331.00
1531,1531.00
1761,1761.00
2025,2025.00
2329,2329.00
2678,2678.00
3080,3080.00
3542,3542.00
4073,4073.00
4684,4684.00
5387,5387.00
6195,6195.00
7125,7125.00
8194,8194.00
9423,9423.00
10836,10836.00
12462,12462.00
14331,14331.00
16481,16481.00
18953,18953.00
21796,21796.00
25065,25065.00
28825,28825.00
33149,33149.00
38121,38121.00

=== NoShuffle: Build Time Experiment ===
n,avg_time_ms
10,0.0014
11,0.0008
13,0.0004
15,0.0006
17,0.0004
20,0.0012
23,0.0010
26,0.0008
30,0.0010
35,0.0014
40,0.0022
46,0.0028
53,0.0028
61,0.0040
70,0.0060
81,0.0080
93,0.0120
107,0.0144
123,0.0168
142,0.0232
163,0.0312
188,0.0426
216,0.0586
248,0.0746
286,0.0986
329,0.1346
378,0.2018
435,0.2266
500,0.2792
575,0.3650
662,0.5308
761,0.6526
875,0.8364
1006,1.4770
1158,1.7800
1331,1.8380
1531,2.6070
1761,3.5920
2025,4.6600
2329,6.2320
2678,8.4910
3080,11.3550
3542,15.4280
4073,21.0810
4684,30.3800
5387,44.4980
6195,59.5880
7125,69.7530
8194,96.4550
9423,123.1880
10836,166.3270
12462,222.8900
14331,288.5120
16481,360.9330
18953,482.7770
21796,627.5740
25065,836.5860
28825,1061.0570
33149,1419.4920
38121,1858.3810

=== NoShuffle: Destroy Time Experiment ===
n,avg_time_ms
10,0.0004
11,0.0002
13,0.0002
15,0.0004
17,0.0006
20,0.0004
23,0.0006
26,0.0002
30,0.0006
35,0.0002
40,0.0004
46,0.0006
53,0.0004
61,0.0000
70,0.0006
81,0.0008
93,0.0010
107,0.0010
123,0.0012
142,0.0012
163,0.0016
188,0.0020
216,0.0020
248,0.0028
286,0.0024
329,0.0030
378,0.0036
435,0.0042
500,0.0050
575,0.0064
662,0.0084
761,0.0096
875,0.0104
1006,0.0100
1158,0.0120
1331,0.0180
1531,0.0130
1761,0.0310
2025,0.0270
2329,0.0700
2678,0.0250
3080,0.0290
3542,0.0430
4073,0.0360
4684,0.0490
5387,0.0670
6195,0.0690
7125,0.0710
8194,0.0740
9423,0.0870
10836,0.0930
12462,0.1400
14331,0.3100
16481,0.1800
18953,0.2150
21796,0.2080
25065,0.2410
28825,0.2680
33149,0.3330
38121,0.4300

=== NoShuffle: Inorder Walk Experiment ===
n,total_time_ms,time_per_node_ms
10,0.000015,0.00000150
11,0.000019,0.00000173
13,0.000020,0.00000154
15,0.000019,0.00000127
17,0.000022,0.00000129
20,0.000026,0.00000130
23,0.000032,0.00000139
26,0.000032,0.00000123
30,0.000038,0.00000127
35,0.000049,0.00000140
40,0.000049,0.00000122
46,0.000052,0.00000113
53,0.000059,0.00000111
61,0.000064,0.00000105
70,0.000079,0.00000113
81,0.000088,0.00000109
93,0.000096,0.00000103
107,0.000115,0.00000107
123,0.000134,0.00000109
142,0.000144,0.00000101
163,0.000164,0.00000101
188,0.000197,0.00000105
216,0.000231,0.00000107
248,0.000258,0.00000104
286,0.000277,0.00000097
329,0.000347,0.00000105
378,0.000372,0.00000098
435,0.000441,0.00000101
500,0.000481,0.00000096
575,0.000536,0.00000093
662,0.000598,0.00000090
761,0.000750,0.00000099
875,0.000878,0.00000100
1006,0.001300,0.00000129
1158,0.001500,0.00000130
1331,0.001400,0.00000105
1531,0.001800,0.00000118
1761,0.002000,0.00000114
2025,0.003250,0.00000160
2329,0.003300,0.00000142
2678,0.003500,0.00000131
3080,0.004000,0.00000130
3542,0.004900,0.00000138
4073,0.006500,0.00000160
4684,0.010350,0.00000221
5387,0.011250,0.00000209
6195,0.010900,0.00000176
7125,0.011750,0.00000165
8194,0.011800,0.00000144
9423,0.011750,0.00000125
