Order-Statistic Tree Experiments (Part B)
==========================================
Comparing OS-Tree vs BST performance
Size range: 10 to 100000
Number of size points: up to 80

Estimated runtime: 5-15 minutes depending on CPU
Progress will be shown below...

=== Experiment 1: INSERT Time Comparison (OS-Tree vs BST) ===
n,bst_time_ms,os_tree_time_ms,overhead_ratio
10,0.0008,0.0008,0.930
11,0.0008,0.0009,1.077
13,0.0008,0.0009,1.032
15,0.0009,0.0010,1.014
17,0.0015,0.0014,0.952
20,0.0017,0.0016,0.923
23,0.0017,0.0016,0.966
26,0.0017,0.0018,1.084
30,0.0020,0.0020,1.017
35,0.0021,0.0022,1.038
40,0.0022,0.0024,1.055
46,0.0026,0.0026,1.004
53,0.0027,0.0028,1.018
61,0.0032,0.0033,1.017
70,0.0034,0.0034,1.008
81,0.0040,0.0040,0.993
93,0.0043,0.0043,1.011
107,0.0050,0.0051,1.013
123,0.0057,0.0058,1.010
142,0.0064,0.0064,1.010
163,0.0068,0.0070,1.027
188,0.0080,0.0082,1.019
216,0.0094,0.0095,1.011
248,0.0101,0.0105,1.031
286,0.0115,0.0118,1.021
329,0.0133,0.0136,1.018
378,0.0157,0.0157,1.003
435,0.0175,0.0175,1.000
500,0.0197,0.0197,1.003
575,0.0229,0.0227,0.993
662,0.0246,0.0243,0.987
761,0.0284,0.0280,0.987
875,0.0336,0.0331,0.986
1006,0.0394,0.0386,0.979
1158,0.0474,0.0470,0.991
1331,0.0555,0.0542,0.975
1531,0.0681,0.0660,0.969
1761,0.0728,0.0714,0.981
2025,0.0846,0.0837,0.990
2329,0.0989,0.0979,0.990
2678,0.1181,0.1171,0.992
3080,0.1382,0.1382,1.000
3542,0.1609,0.1600,0.995
4073,0.1864,0.1872,1.004
4684,0.2172,0.2156,0.993
5387,0.2572,0.2524,0.981
6195,0.3046,0.3039,0.998
7125,0.3653,0.3628,0.993
8194,0.4290,0.4288,1.000
9423,0.5062,0.5051,0.998
10836,0.6038,0.5995,0.993
12462,0.7129,0.7096,0.995
14331,0.8864,0.8669,0.978
16481,1.0129,1.0106,0.998
18953,1.1959,1.1874,0.993
21796,1.4184,1.4116,0.995
25065,1.7236,1.6989,0.986
28825,2.0092,2.0129,1.002
33149,2.3949,2.3686,0.989
38121,2.8036,2.8361,1.012
43839,3.2668,3.3072,1.012
50415,3.8580,3.9307,1.019
57978,4.6395,4.7524,1.024
66675,5.3762,5.5139,1.026
76676,6.3815,6.6214,1.038
88177,7.4870,7.7196,1.031
100000,8.6278,8.9370,1.036

=== Experiment 2: DELETE Time Comparison (OS-Tree vs BST) ===
n,bst_time_ms,os_tree_time_ms,overhead_ratio
10,0.0003,0.0003,1.268
11,0.0005,0.0003,0.657
13,0.0003,0.0004,1.049
15,0.0004,0.0004,0.785
17,0.0004,0.0005,1.342
20,0.0005,0.0004,0.971
23,0.0005,0.0005,1.006
26,0.0006,0.0006,0.949
30,0.0006,0.0007,1.088
35,0.0006,0.0006,1.043
40,0.0007,0.0008,1.036
46,0.0008,0.0008,1.008
53,0.0009,0.0009,1.049
61,0.0010,0.0010,0.984
70,0.0012,0.0012,1.009
81,0.0013,0.0013,0.985
93,0.0014,0.0015,1.041
107,0.0017,0.0018,1.083
123,0.0019,0.0020,1.055
142,0.0023,0.0025,1.069
163,0.0026,0.0026,0.982
188,0.0030,0.0031,1.022
216,0.0034,0.0036,1.053
248,0.0039,0.0041,1.036
286,0.0045,0.0049,1.090
329,0.0052,0.0054,1.046
378,0.0060,0.0062,1.030
435,0.0068,0.0071,1.046
500,0.0077,0.0081,1.054
575,0.0091,0.0094,1.032
662,0.0103,0.0110,1.066
761,0.0118,0.0127,1.068
875,0.0138,0.0146,1.055
1006,0.0159,0.0168,1.057
1158,0.0185,0.0196,1.063
1331,0.0213,0.0227,1.067
1531,0.0244,0.0261,1.070
1761,0.0296,0.0317,1.069
2025,0.0345,0.0368,1.068
2329,0.0378,0.0405,1.072
2678,0.0468,0.0498,1.064
3080,0.0501,0.0543,1.083
3542,0.0581,0.0635,1.093
4073,0.0685,0.0747,1.092
4684,0.0793,0.0855,1.077
5387,0.0934,0.1012,1.083
6195,0.1075,0.1171,1.090
7125,0.1262,0.1362,1.080
8194,0.1491,0.1591,1.067
9423,0.1743,0.1859,1.066
10836,0.2007,0.2140,1.066
12462,0.2300,0.2458,1.069
14331,0.2677,0.2875,1.074
16481,0.3139,0.3418,1.089
18953,0.3614,0.3875,1.072
21796,0.4124,0.4484,1.087
25065,0.4814,0.5204,1.081
28825,0.5633,0.6056,1.075
33149,0.6445,0.6985,1.084
38121,0.7390,0.8069,1.092
43839,0.8555,0.9354,1.093
50415,0.9954,1.0780,1.083
57978,1.1452,1.2510,1.092
66675,1.6323,1.6231,0.994
76676,1.6323,1.7812,1.091
88177,1.8210,1.9753,1.085
100000,2.1006,2.2908,1.091

=== Experiment 3: OS-SELECT Runtime ===
n,avg_time_ms,time_per_operation_us
10,0.0016,0.016
11,0.0021,0.021
13,0.0022,0.022
15,0.0020,0.020
17,0.0022,0.022
20,0.0021,0.021
23,0.0021,0.021
26,0.0022,0.022
30,0.0025,0.025
35,0.0023,0.023
40,0.0022,0.022
46,0.0024,0.024
53,0.0028,0.028
61,0.0028,0.028
70,0.0026,0.026
81,0.0027,0.027
93,0.0027,0.027
107,0.0033,0.033
123,0.0029,0.029
142,0.0031,0.031
163,0.0032,0.032
188,0.0032,0.032
216,0.0033,0.033
248,0.0034,0.034
286,0.0036,0.036
329,0.0037,0.037
378,0.0039,0.039
435,0.0039,0.039
500,0.0039,0.039
575,0.0040,0.040
662,0.0040,0.040
761,0.0041,0.041
875,0.0042,0.042
1006,0.0042,0.042
1158,0.0045,0.045
1331,0.0047,0.047
1531,0.0046,0.046
1761,0.0047,0.047
2025,0.0048,0.048
2329,0.0052,0.052
2678,0.0052,0.052
3080,0.0051,0.051
3542,0.0055,0.055
4073,0.0059,0.059
4684,0.0062,0.062
5387,0.0066,0.066
6195,0.0064,0.064
7125,0.0067,0.067
8194,0.0076,0.076
9423,0.0081,0.081
10836,0.0081,0.081
12462,0.0081,0.081
14331,0.0091,0.091
16481,0.0087,0.087
18953,0.0092,0.092
21796,0.0096,0.096
25065,0.0100,0.100
28825,0.0106,0.106
33149,0.0104,0.104
38121,0.0114,0.114
43839,0.0116,0.116
50415,0.0125,0.125
57978,0.0125,0.125
66675,0.0121,0.121
76676,0.0123,0.123
88177,0.0149,0.149
100000,0.0138,0.138

=== Experiment 4: OS-RANK Runtime ===
n,avg_time_ms,time_per_operation_us
10,0.0029,0.029
11,0.0022,0.022
13,0.0023,0.023
15,0.0024,0.024
17,0.0024,0.024
20,0.0025,0.025
23,0.0026,0.026
26,0.0027,0.027
30,0.0027,0.027
35,0.0029,0.029
40,0.0029,0.029
46,0.0030,0.030
53,0.0033,0.033
61,0.0032,0.032
70,0.0032,0.032
81,0.0035,0.035
93,0.0038,0.038
107,0.0035,0.035
123,0.0038,0.038
142,0.0039,0.039
163,0.0044,0.044
188,0.0043,0.043
216,0.0041,0.041
248,0.0040,0.040
286,0.0040,0.040
329,0.0041,0.041
378,0.0044,0.044
435,0.0043,0.043
500,0.0051,0.051
575,0.0047,0.047
662,0.0048,0.048
761,0.0051,0.051
875,0.0050,0.050
1006,0.0051,0.051
1158,0.0053,0.053
1331,0.0051,0.051
1531,0.0054,0.054
1761,0.0056,0.056
2025,0.0056,0.056
2329,0.0058,0.058
2678,0.0061,0.061
3080,0.0062,0.062
3542,0.0064,0.064
4073,0.0066,0.066
4684,0.0068,0.068
5387,0.0072,0.072
6195,0.0070,0.070
7125,0.0074,0.074
8194,0.0075,0.075
9423,0.0079,0.079
10836,0.0079,0.079
12462,0.0084,0.084
14331,0.0081,0.081
16481,0.0085,0.085
18953,0.0089,0.089
21796,0.0090,0.090
25065,0.0092,0.092
28825,0.0096,0.096
33149,0.0093,0.093
38121,0.0120,0.120
43839,0.0107,0.107
50415,0.0104,0.104
57978,0.0107,0.107
66675,0.0122,0.122
76676,0.0118,0.118
88177,0.0122,0.122
100000,0.0122,0.122

All OS-Tree experiments completed!
Results can be plotted to show:
  1. OS-Tree INSERT overhead vs BST
  2. OS-Tree DELETE overhead vs BST
  3. OS-SELECT runtime (should be O(log n))
  4. OS-RANK runtime (should be O(log n))
